section,dataset,method,variant,init,index_name,k,value,run_id
5.3.3,mnist,globallocal_a0.75_nu0.5,framework,pca,ari,,0.2851241647211049,
5.3.3,mnist,globallocal_a1.0_nuinf,framework,pca,trustworthiness,15,0.8971889900522677,
5.3.3,mnist,globallocal_a1.0_nuinf,framework,pca,rv_final,,0.6855951547622681,
5.3.3,mnist,globallocal_a1.0_nuinf,framework,pca,ari,,0.2747689312700101,
5.3.3,mnist,globallocal_a1.0_nu1.0,framework,pca,trustworthiness,15,0.9051895970325409,
5.3.3,mnist,globallocal_a1.0_nu1.0,framework,pca,rv_final,,0.6912116408348083,
5.3.3,mnist,globallocal_a1.0_nu1.0,framework,pca,ari,,0.2345835426800721,
5.3.3,mnist,globallocal_a1.0_nu0.5,framework,pca,trustworthiness,15,0.913094924970494,
5.3.3,mnist,globallocal_a1.0_nu0.5,framework,pca,rv_final,,0.6858837008476257,
5.3.3,mnist,globallocal_a1.0_nu0.5,framework,pca,ari,,0.27017764615482337,
5.3.3,mnist,unsupsup_a0.0,framework,pca,trustworthiness,15,0.7846289833080425,
5.3.3,mnist,unsupsup_a0.0,framework,pca,ari,,0.19854222883943523,
5.3.3,mnist,unsupsup_a0.0,framework,pca,rv_final,,0.925211489200592,
5.3.3,mnist,unsupsup_a0.25,framework,pca,trustworthiness,15,0.867694216826842,
5.3.3,mnist,unsupsup_a0.25,framework,pca,ari,,0.4957983241233182,
5.3.3,mnist,unsupsup_a0.25,framework,pca,rv_final,,0.8895220160484314,
5.3.3,mnist,unsupsup_a0.5,framework,pca,trustworthiness,15,0.9404598718597201,
5.3.3,mnist,unsupsup_a0.5,framework,pca,ari,,0.6973500494499757,
5.3.3,mnist,unsupsup_a0.5,framework,pca,rv_final,,0.7244775295257568,
5.3.3,mnist,unsupsup_a0.75,framework,pca,trustworthiness,15,0.9370212105884337,
5.3.3,mnist,unsupsup_a0.75,framework,pca,ari,,0.5528618267306099,
5.3.3,mnist,unsupsup_a0.75,framework,pca,rv_final,,0.665475606918335,
5.3.3,mnist,unsupsup_a1.0,framework,pca,trustworthiness,15,0.937334125779801,
5.3.3,mnist,unsupsup_a1.0,framework,pca,ari,,0.2909331425972722,
5.3.3,mnist,unsupsup_a1.0,framework,pca,rv_final,,0.6370652914047241,
5.3.3,swissroll,globallocal_a0.0_nuinf,framework,pca,trustworthiness,15,0.9987943854324735,
5.3.3,swissroll,globallocal_a0.0_nuinf,framework,pca,rv_final,,0.8951783776283264,
5.3.3,swissroll,globallocal_a0.0_nu1.0,framework,pca,trustworthiness,15,0.9976949249704941,
5.3.3,swissroll,globallocal_a0.0_nu1.0,framework,pca,rv_final,,0.8581385612487793,
5.3.3,swissroll,globallocal_a0.0_nu0.5,framework,pca,trustworthiness,15,0.9979134884505142,
5.3.3,swissroll,globallocal_a0.0_nu0.5,framework,pca,rv_final,,0.839627742767334,
5.3.3,swissroll,globallocal_a0.25_nuinf,framework,pca,trustworthiness,15,0.9993462485247008,
5.3.3,swissroll,globallocal_a0.25_nuinf,framework,pca,rv_final,,0.8725801706314087,
5.3.3,swissroll,globallocal_a0.25_nu1.0,framework,pca,trustworthiness,15,0.998123149553195,
5.3.3,swissroll,globallocal_a0.25_nu1.0,framework,pca,rv_final,,0.8633500933647156,
5.3.3,swissroll,globallocal_a0.25_nu0.5,framework,pca,trustworthiness,15,0.9976204181419659,
5.3.3,swissroll,globallocal_a0.25_nu0.5,framework,pca,rv_final,,0.8545200824737549,
5.3.3,swissroll,globallocal_a0.5_nuinf,framework,pca,trustworthiness,15,0.9992527904232001,
5.3.3,swissroll,globallocal_a0.5_nuinf,framework,pca,rv_final,,0.7292022109031677,
5.3.3,swissroll,globallocal_a0.5_nu1.0,framework,pca,trustworthiness,15,0.9979832911819255,
5.3.3,swissroll,globallocal_a0.5_nu1.0,framework,pca,rv_final,,0.7848861813545227,
5.3.3,swissroll,globallocal_a0.5_nu0.5,framework,pca,trustworthiness,15,0.9976140954307874,
5.3.3,swissroll,globallocal_a0.5_nu0.5,framework,pca,rv_final,,0.798297107219696,
5.3.3,swissroll,globallocal_a0.75_nuinf,framework,pca,trustworthiness,15,0.998192092395886,
5.3.3,swissroll,globallocal_a0.75_nuinf,framework,pca,rv_final,,0.5835079550743103,
5.3.3,swissroll,globallocal_a0.75_nu1.0,framework,pca,trustworthiness,15,0.9969743719440229,
5.3.3,swissroll,globallocal_a0.75_nu1.0,framework,pca,rv_final,,0.7918639779090881,
5.3.3,swissroll,globallocal_a0.75_nu0.5,framework,pca,trustworthiness,15,0.9972541224076884,
5.3.3,swissroll,globallocal_a0.75_nu0.5,framework,pca,rv_final,,0.7954427599906921,
5.3.3,swissroll,globallocal_a1.0_nuinf,framework,pca,trustworthiness,15,0.9859136401955826,
5.3.3,swissroll,globallocal_a1.0_nuinf,framework,pca,rv_final,,0.4631860852241516,
5.3.3,swissroll,globallocal_a1.0_nu1.0,framework,pca,trustworthiness,15,0.987546518293711,
5.3.3,swissroll,globallocal_a1.0_nu1.0,framework,pca,rv_final,,0.7458558082580566,
5.3.3,swissroll,globallocal_a1.0_nu0.5,framework,pca,trustworthiness,15,0.9850627887371438,
5.3.3,swissroll,globallocal_a1.0_nu0.5,framework,pca,rv_final,,0.7640533447265625,
5.3.1,singlecell,PCA,framework,pca,procrustes,15,1.9818671711654957e-07,
5.3.1,singlecell,PCA,framework,pca,knn_overlap,15,0.9985342431134697,
5.3.1,singlecell,PCA,framework,pca,rv_final,,0.8102056384086609,
5.3.1,singlecell,PCA,framework,pca,trustworthiness,15,0.8252095301740363,
5.3.1,singlecell,PCA,framework,pca,ari,,0.5496320177536987,
5.3.1,singlecell,PCA,reference,pca,trustworthiness,15,0.8251779188416974,
5.3.1,singlecell,PCA,reference,pca,ari,,0.548970163632591,
5.3.1,singlecell,Kernel PCA (RBF),framework,pca,procrustes,15,3.0937887576425697e-13,
5.3.1,singlecell,Kernel PCA (RBF),framework,pca,knn_overlap,15,0.9999747283295426,
5.3.1,singlecell,Kernel PCA (RBF),framework,pca,rv_final,,0.8564151525497437,
5.3.1,singlecell,Kernel PCA (RBF),framework,pca,trustworthiness,15,0.7738978048437529,
5.3.1,singlecell,Kernel PCA (RBF),framework,pca,ari,,0.42863074173317606,
5.3.1,singlecell,Kernel PCA (RBF),reference,pca,trustworthiness,15,0.7738994574080544,
5.3.1,singlecell,Kernel PCA (RBF),reference,pca,ari,,0.42863074173317606,
5.3.1,singlecell,Isomap,framework,pca,procrustes,15,0.006269897395222376,
5.3.1,singlecell,Isomap,framework,pca,knn_overlap,15,0.4844831943391458,
5.3.1,singlecell,Isomap,framework,pca,rv_final,,0.9484736323356628,
5.3.1,singlecell,Isomap,framework,pca,trustworthiness,15,0.8281998887659935,
5.3.1,singlecell,Isomap,framework,pca,ari,,0.569557956873539,
5.3.1,singlecell,Isomap,reference,pca,trustworthiness,15,0.8272325974590133,
5.3.1,singlecell,Isomap,reference,pca,ari,,0.5623971084246042,
5.3.1,singlecell,LLE,framework,pca,procrustes,15,0.3842155335445772,
5.3.1,singlecell,LLE,framework,pca,knn_overlap,15,0.23495072024260802,
5.3.1,singlecell,LLE,framework,pca,rv_final,,0.9999507069587708,
5.3.1,singlecell,LLE,framework,pca,trustworthiness,15,0.7627784631248637,
5.3.1,singlecell,LLE,framework,pca,ari,,0.35342706566672555,
5.3.1,singlecell,LLE,reference,pca,trustworthiness,15,0.7855713644430979,
5.3.1,singlecell,LLE,reference,pca,ari,,0.37179573152329826,
5.3.1,singlecell,Diffusion Maps,framework,pca,procrustes,15,0.035461086803675004,
5.3.1,singlecell,Diffusion Maps,framework,pca,knn_overlap,15,0.5228455900935052,
5.3.1,singlecell,Diffusion Maps,framework,pca,rv_final,,0.6815879940986633,
5.3.1,singlecell,Diffusion Maps,framework,pca,trustworthiness,15,0.7691001787378757,
5.3.1,singlecell,Diffusion Maps,framework,pca,ari,,0.4473980233053309,
5.3.1,singlecell,Diffusion Maps,reference,pca,trustworthiness,15,0.6774866526440304,
5.3.1,singlecell,Diffusion Maps,reference,pca,ari,,0.24459917774739276,
5.3.1,singlecell,Laplacian Eigenmaps,framework,pca,procrustes,15,0.10639325787172692,
